Type,Vendor ID,Device ID,Device Name
USB,056A,5010,TPC5010
USB,056A,4004,TPC4004
USB,056A,4850,PenPartner 6x8
USB,056A,5000,TPC5000
USB,056A,5002,TPC5002
USB,056A,03DC,PTH-460 [Intuos Pro (S)] tablet
USB,056A,03DD,PTH-460 [Intuos Pro BT (S)] tablet
USB,056A,400,PenPartner 4x5
USB,056A,4001,TPC4001
USB,056A,03C5,CTL-4100WL [Intuos BT (S)]
USB,056A,03C7,CTL-6100WL [Intuos BT (M)]
USB,056A,03B2,DTH167 [Cintiq Pro 16] tablet
USB,056A,03B3,DTH167 [Cintiq Pro 16] touchscreen
USB,056A,039C,DTH-W1320 [MobileStudio Pro 16] external hub
USB,056A,039D,DTH-W1320 [MobileStudio Pro 16] internal hub
USB,056A,03AA,DTH-W1620 [MobileStudio Pro 16] tablet
USB,056A,03AC,DTH-W1620 [MobileStudio Pro 16] touchscreen
USB,056A,399,DTH-W1620 [MobileStudio Pro 16] tablet
USB,056A,039A,DTH-W1320 [MobileStudio Pro 13] touchscreen
USB,056A,039B,DTH-W1620 [MobileStudio Pro 16] touchscreen
USB,056A,392,PTH-460 [Intuos Pro (S)]
USB,056A,396,DTK-1660E
USB,056A,398,DTH-W1320 [MobileStudio Pro 13] tablet
USB,056A,038E,DTH-3220 [Cintiq Pro 32] external hub
USB,056A,038F,DTH-3220 [Cintiq Pro 32] internal hub
USB,056A,390,DTK-1660 [Cintiq 16]
USB,056A,382,DTK-2451 tablet
USB,056A,038A,DTH-3220 [Cintiq Pro 32] internal hub
USB,056A,038D,DTH-3220 [Cintiq Pro 32] internal hub
USB,056A,037C,DTK-2420 [Cintiq Pro 24 P]
USB,056A,037D,DTH-2452 tablet
USB,056A,037E,DTH-2452 touchscreen
USB,056A,376,CTL-4100WL [Intuos BT (S)]
USB,056A,378,CTL-6100WL [Intuos BT (M)]
USB,056A,037A,CTL-472 [One by Wacom (S)]
USB,056A,037B,CTL-672 [One by Wacom (M)]
USB,056A,368,DTH-1152 touchscreen
USB,056A,374,CTL-4100 [Intuos (S)]
USB,056A,375,CTL-6100 [Intuos (M)]
USB,056A,357,PTH-660 [Intuos Pro (M)]
USB,056A,358,PTH-860 [Intuos Pro (L)]
USB,056A,359,DTU-1141B
USB,056A,035A,DTH-1152 tablet
USB,056A,354,DTH-1620 [Cintiq Pro 16] touchscreen
USB,056A,355,DTH-2420 [Cintiq Pro 24 PT] touchscreen
USB,056A,356,DTH-3220 [Cintiq Pro 32] touchscreen
USB,056A,350,DTH-1620 [Cintiq Pro 16] tablet
USB,056A,351,DTH-2420 [Cintiq Pro 24 PT] tablet
USB,056A,352,DTH-3220 [Cintiq Pro 32] tablet
USB,056A,353,DTH-1320 [Cintiq Pro 13] touchscreen
USB,056A,034B,DTH-W1620 [MobileStudio Pro 16] touchscreen
USB,056A,034D,DTH-W1320 [MobileStudio Pro 13] tablet
USB,056A,034E,DTH-W1620 [MobileStudio Pro 16] tablet
USB,056A,034F,DTH-1320 [Cintiq Pro 13] tablet
USB,056A,343,DTK-1651
USB,056A,347,DTH-W1620 [MobileStudio Pro 16] internal hub
USB,056A,348,DTH-W1620 [MobileStudio Pro 16] external hub
USB,056A,034A,DTH-W1320 [MobileStudio Pro 13] touchscreen
USB,056A,033C,CTH-490 [Intuos Art/Photo/Comic (S)]
USB,056A,033D,CTL-690 [Intuos Draw (M)]
USB,056A,033E,CTH-690 [Intuos Art (M)]
USB,056A,335,DTH-1300 [Cintiq 13HD Touch] touchscreen
USB,056A,336,DTU-1141
USB,056A,033B,CTL-490 [Intuos Draw (S)]
USB,056A,032C,DTH-2700 [Cintiq 27QHD touch] touchscreen
USB,056A,032F,DTU-1031X
USB,056A,331,ACK-411050 [ExpressKey Remote]
USB,056A,333,DTH-1300 [Cintiq 13HD Touch] tablet
USB,056A,323,CTL-680 [Intuos Pen (M)]
USB,056A,032A,DTK-2700 [Cintiq 27QHD]
USB,056A,032B,DTH-2700 [Cintiq 27QHD touch] tablet
USB,056A,317,PTH-851 [Intuos pro (L)]
USB,056A,318,CTH-301 [Bamboo]
USB,056A,319,CTH-300 [Bamboo Pad wireless]
USB,056A,315,PTH-651 [Intuos pro (M)]
USB,056A,309,DTH-A1300 [Cintiq Companion Hybrid] touchscreen
USB,056A,030E,CTL-480 [Intuos Pen (S)]
USB,056A,314,PTH-451 [Intuos pro (S)]
USB,056A,303,CTH-680 [Intuos Pen & Touch (M)]
USB,056A,304,DTK-1300 [Cintiq 13HD]
USB,056A,307,DTH-A1300 [Cintiq Companion Hybrid] tablet
USB,056A,300,"CTL-471 [Bamboo Splash, One by Wacom (S)]"
USB,056A,301,CTL-671 [One by Wacom (M)]
USB,056A,302,CTH-480 [Intuos Pen & Touch (S)]
USB,056A,010F,TPC10F
USB,056A,116,TPC116
USB,056A,012C,TPC12C
USB,056A,221,MDP-123 [Inkling]
USB,056A,101,TPC101
USB,056A,010D,TPC10D
USB,056A,010E,TPC10E
USB,056A,00F9,DTK-2200 [Cintiq 22HD] hub
USB,056A,00FA,DTK-2200 [Cintiq 22HD] tablet
USB,056A,00FB,DTU-1031
USB,056A,100,TPC100
USB,056A,00F0,DTU-1631
USB,056A,00F4,DTK-2400 [Cintiq 24HD] tablet
USB,056A,00F6,DTH-2400 [Cintiq 24HD touch] touchscreen
USB,056A,00F8,DTH-2400 [Cintiq 24HD touch] tablet
USB,056A,00EC,TPCEC
USB,056A,00ED,TPCED
USB,056A,00EF,TPCEF
USB,056A,0.00E+00,TPCE2
USB,056A,0.00E+00,TPCE3
USB,056A,0.00E+00,TPCE5
USB,056A,0.00E+00,TPCE6
USB,056A,00DD,CTL-470 [Bamboo Connect]
USB,056A,00DE,CTH-470 [Bamboo Fun Pen & Touch]
USB,056A,00DF,CTH-670 [Bamboo Create/Fun]
USB,056A,00D9,CTT-460 [Bamboo Touch]
USB,056A,00DA,CTH-461SE [Bamboo Pen & Touch Special Edition (S)]
USB,056A,00DB,CTH-661SE [Bamboo Pen & Touch Special Edition (M)]
USB,056A,00DC,CTT-470 [Bamboo Touch]
USB,056A,00D5,CTL-660 [Bamboo Pen (M)]
USB,056A,00D6,CTH-460 [Bamboo Pen & Touch]
USB,056A,00D7,CTH-461 [Bamboo Fun/Craft/Comic Pen & Touch (S)]
USB,056A,00D8,CTH-661 [Bamboo Fun/Comic Pen & Touch (M)]
USB,056A,00D2,CTH-461 [Bamboo Fun/Craft/Comic Pen & Touch (S)]
USB,056A,00D3,CTH-661 [Bamboo Fun/Comic Pen & Touch (M)]
USB,056A,00D4,CTL-460 [Bamboo Pen (S)]
USB,056A,00CC,DTK-2100 [Cintiq 21UX]
USB,056A,00CE,DTU-2231
USB,056A,00D0,CTT-460 [Bamboo Touch]
USB,056A,00D1,CTH-460 [Bamboo Pen & Touch]
USB,056A,00C4,DTF-720
USB,056A,00C5,DTZ-2000W [Cintiq 20WSX]
USB,056A,00C6,DTZ-1200W [Cintiq 12WX]
USB,056A,00C7,DTU-1931
USB,056A,00B9,PTK-640 [Intuos4 (6x9)]
USB,056A,00BA,PTK-840 [Intuos4 (8x13)]
USB,056A,00BB,PTK-1240 [Intuos4 (12x19)]
USB,056A,00C0,DTF-521
USB,056A,00B5,PTZ-631W [Intuos3 (6x11)]
USB,056A,00B7,PTZ-431W [Intuos3 (4x6)]
USB,056A,00B8,PTK-440 [Intuos4 (4x6)]
USB,056A,00B1,PTZ-630 [Intuos3 (6x8)]
USB,056A,00B2,PTZ-930 [Intuos3 (9x12)]
USB,056A,00B3,PTZ-1230 [Intuos3 (12x12)]
USB,056A,00B4,PTZ-1231W [Intuos3 (12x19)]
USB,056A,009A,TPC9A
USB,056A,00A2,STU-300B [LCD signature pad]
USB,056A,00B0,PTZ-430 [Intuos3 (4x5)]
USB,056A,84,ACK-40401 [Wireless Accessory Kit]
USB,056A,90,TPC90
USB,056A,93,TPC93
USB,056A,97,TPC97
USB,056A,69,CTF-430 [Bamboo One]
USB,056A,006A,CTE-460 [Bamboo One Pen (S)]
USB,056A,006B,CTE-660 [Bamboo One Pen (M)]
USB,056A,81,CTE-630BT [Graphire Wireless (6x8)]
USB,056A,63,CTF-220 [BizTablet]
USB,056A,64,CTF-221 [PenPartner2]
USB,056A,65,MTE-450 [Bamboo]
USB,056A,60,"FT-0405 [Volito, PenPartner, PenStation (4x5)]"
USB,056A,61,"FT-0203 [Volito, PenPartner, PenStation (2x3)]"
USB,056A,62,CTF-420 [Volito2]
USB,056A,005B,DTH-2200 [Cintiq 22HD Touch] tablet
USB,056A,005D,DTH-2242 touchscreen
USB,056A,005E,DTH-2200 [Cintiq 22HD Touch] touchscreen
USB,056A,45,XD-1218-U [Intuos2 (12x18)]
USB,056A,47,Intuos2 6x8
USB,056A,57,DTK-2241
USB,056A,59,DTH-2242 tablet
USB,056A,42,XD-0608-U [Intuos2 (6x8)]
USB,056A,43,XD-0912-U [Intuos2 (9x12)]
USB,056A,44,XD-1212-U [Intuos2 (12x12)]
USB,056A,003B,Integrated Hub
USB,056A,003F,DTZ-2100 [Cintiq 21UX]
USB,056A,41,XD-0405-U [Intuos2 (4x5)]
USB,056A,37,PL700
USB,056A,38,PL510
USB,056A,39,DTU-710
USB,056A,003A,DTI-520
USB,056A,32,PL600
USB,056A,33,PL600SX
USB,056A,34,PL550
USB,056A,35,PL800
USB,056A,002A,PTK-650 [Intuos5 (M)]
USB,056A,30,PL400
USB,056A,31,PL500
USB,056A,26,PTH-450 [Intuos5 touch (S)]
USB,056A,27,PTH-650 [Intuos5 touch (M)]
USB,056A,28,PTH-850 [Intuos5 touch (L)]
USB,056A,29,PTK-450 [Intuos5 (S)]
USB,056A,21,GD-0608 [Intuos (6x8)]
USB,056A,22,GD-0912 [Intuos (9x12)]
USB,056A,23,GD-1212 [Intuos (12x12)]
USB,056A,24,GD-1218 [Intuos (12x18)]
USB,056A,17,CTE-450 [Bamboo Fun (small)]
USB,056A,18,CTE-650 [Bamboo Fun (medium)]
USB,056A,19,CTE-631 [Bamboo One]
USB,056A,20,GD-0405 [Intuos (4x5)]
USB,056A,13,CTE-430 [Graphire3 (4x5)]
USB,056A,14,CTE-630 [Graphire3 (6x8)]
USB,056A,15,CTE-440 [Graphire4 (4x5)]
USB,056A,16,CTE-640 [Graphire4 (6x8)]
USB,056A,10,ET-0405 [Graphire]
USB,056A,11,ET-0405A [Graphire2 (4x5)]
USB,056A,12,ET-0507A [Graphire2 (5x7)]
USB,056A,0,PenPartner
USB,056A,1,PenPartner 4x5
USB,056A,2,PenPartner 6x8
USB,056A,3,PTU-600 [Cintiq Partner]
